,X,Y,,SCATTER PLOT Y vs. X,Optional
,12,77,,,
,16,64,,,
,18,53,,,
,20,21,,,
,19,84,,,
,7,90,,,
,15,26,,,
,16,46,,,
,12,33,,,
"Use the data to calculate the following measures. 
(All measures shown in red)",10,85,,,
,9,72,,,
,11,46,,,
COUNT Function,,,,,
SUM Function,,,,,
MODE Function,,,,,
MEDIAN Function,,,,,
MEAN Calculation,,,,COVARIANCE Calculation,
MEAN Function,,,,COVARIANCE Function,
MIN Function,,,,CORRELATION Calculation,
MAX Function,,,,CORRELATION Function,
RANGE Calculation,,,,,
Q1 Function,,,,,
Q2 Function,,,,,
Q3 Function,,,,,
IQR Calculation,,,,,
VARIANCE Calculation,,,"Sample or population, both will be accepted",,
VARIANCE Function,,,,,
STANDARD DEV Calculation,,,"Sample or population, both will be accepted",,
STANDARD DEV Function,,,,,
SKEWNESS Function,,,,,
KURTOSIS Function,,,,,